date,year,month,day,quarter
2026-08-01 00:00:00,2026,8,1,3
2026-04-01 00:00:00,2026,4,1,2
2026-02-01 00:00:00,2026,2,1,1
2026-03-01 00:00:00,2026,3,1,1
2026-01-01 00:00:00,2026,1,1,1
2026-06-01 00:00:00,2026,6,1,2
2026-08-03 00:00:00,2026,8,3,3
2026-07-02 00:00:00,2026,7,2,3
2026-04-02 00:00:00,2026,4,2,2
2026-09-01 00:00:00,2026,9,1,3
2026-10-01 00:00:00,2026,10,1,4
2026-07-01 00:00:00,2026,7,1,3
2026-05-01 00:00:00,2026,5,1,2
2026-11-01 00:00:00,2026,11,1,4
2026-12-01 00:00:00,2026,12,1,4
2026-11-03 00:00:00,2026,11,3,4
2026-09-03 00:00:00,2026,9,3,3
2026-02-03 00:00:00,2026,2,3,1
2026-07-03 00:00:00,2026,7,3,3
2026-10-03 00:00:00,2026,10,3,4
2026-05-03 00:00:00,2026,5,3,2
2026-12-03 00:00:00,2026,12,3,4
2026-03-03 00:00:00,2026,3,3,1
2026-04-03 00:00:00,2026,4,3,2
2026-01-03 00:00:00,2026,1,3,1
2026-06-03 00:00:00,2026,6,3,2
2026-01-02 00:00:00,2026,1,2,1
2026-06-02 00:00:00,2026,6,2,2
2026-09-02 00:00:00,2026,9,2,3
2026-05-02 00:00:00,2026,5,2,2
2026-12-02 00:00:00,2026,12,2,4
2026-03-02 00:00:00,2026,3,2,1
2026-02-02 00:00:00,2026,2,2,1
2026-08-02 00:00:00,2026,8,2,3
2026-10-02 00:00:00,2026,10,2,4
2026-11-02 00:00:00,2026,11,2,4
